relative_time,AccX,state
0,-0.559536438,1
66,-0.992136841,1
133,-1.816173248,1
200,-0.963097229,1
266,-0.884061584,1
333,-0.85651886,1
400,-0.955163727,1
466,-0.296982422,1
533,-1.345402222,1
600,-1.547631683,1
666,0.4117936706542969,1
733,-2.437680817,1
800,-0.609233093,1
866,1.030906219482422,1
933,-2.111060028,1
1000,-0.848435669,1
1066,1.327888641357422,1
1132,-1.931583252,1
1200,-1.492246857,1
1266,0.6794371032714844,1
1333,-1.46844635,1
1400,-1.230441284,1
1466,0.8101153564453125,1
1533,-1.190624084,1
1599,-2.008822632,1
1666,0.270637207,1
1733,-0.104931793,1
1800,-3.012635193,1
1866,1.182840270996094,1
1933,0.135318604,1
2000,-3.026256866,1
2066,-0.735570374,1
2133,1.753154297,1
2200,-2.613115997,1
2266,-1.759141846,1
2333,2.0172052001953125,1
2400,-0.879121857,1
2466,-2.627037048,1
2536,1.197659454345703,1
2599,-0.557291107,1
2669,-2.406096497,1
2733,0.8619076538085938,1
2799,0.5876779174804688,1
2868,-3.323388977,1
2932,-0.858015747,1
2999,1.4962884521484376,1
3069,-2.747985535,1
3133,-2.079775085,1
3199,2.0743862915039064,1
3269,-2.374811554,1
3333,-2.404150543,1
3400,2.174528045654297,1
3468,-0.410147095,1
3535,-3.49508194,1
3600,0.4132905578613281,1
3668,1.967358856201172,1
3733,-2.847378845,1
3800,-1.855541382,1
3868,2.2505699157714845,1
3933,-3.302432556,1
3999,-1.593137054,1
4067,1.4064752197265626,1
4132,-2.293680267,1
4199,-1.998344421,1
4267,1.3513897705078126,1
4333,-0.929267578,1
4400,-3.077899475,1
4467,1.8230589294433595,1
4533,1.1204200744628907,1
4600,-3.931723938,1
4666,0.22617965698242187,1
4733,2.2336550903320314,1
4800,-2.623444519,1
4866,-1.271755371,1
4933,2.318528594970703,1
5000,-2.159708862,1
5066,-2.323917389,1
5133,2.3427781677246093,1
5200,-1.915566559,1
5266,-2.287093964,1
5333,1.6976197814941407,1
5400,-2.274819489,1
5466,-3.250191193,1
5532,2.2722747802734378,1
5600,-0.070802765,1
5666,-5.228926392,1
5733,2.3068528747558594,1
5800,1.1133847045898437,1
5866,-3.747157745,1
5933,1.0172845458984376,1
5999,1.3352233886718752,1
6066,-3.17564621,1
6132,0.11705657958984375,1
6200,0.9274713134765625,1
6266,-3.619323578,1
6333,0.5406756591796875,1
6400,1.436862030029297,1
6466,-3.43775116,1
6532,-0.675545197,1
6599,1.1219169616699218,1
6666,-2.616708527,1
6733,-2.181264038,1
6800,1.997296600341797,1
6866,-1.567689972,1
6933,-3.009342041,1
7000,1.4563215637207032,1
7066,-0.177680511,1
7133,-2.992876282,1
7200,1.3533357238769532,1
7266,-0.648451538,1
7333,-2.249821472,1
7400,1.4003379821777344,1
7466,-0.521365814,1
7532,-3.601061554,1
7600,2.040257263183594,1
7666,0.8686436462402344,1
7733,-4.936284943,1
7800,1.748364258,1
7866,1.3605207824707033,1
7932,-3.780837708,1
8000,-0.275726624,1
8066,1.6690292358398438,1
8133,-3.823049927,1
8200,-1.750609589,1
8266,1.7711169433593752,1
8333,-2.955753479,1
8400,-2.107766876,1
8466,2.3538551330566406,1
8533,-0.794847107,1
8600,-2.824925537,1
8666,2.063009948730469,1
8733,-0.350870361,1
8800,-3.397784271,1
8866,2.4632775878906252,1
8932,0.23396347045898438,1
8999,-3.339555359,1
9066,1.357976074,1
9132,0.39428009033203126,1
9199,-3.564836884,1
9266,0.5813909912109375,1
9333,1.167721710205078,1
9400,-3.669020233,1
9466,-2.028431854,1
9533,3.1629226684570315,1
9600,-3.150049438,1
9666,-3.938908997,1
9733,2.771935729980469,1
9800,-1.41934845,1
9866,-3.191812592,1
9933,0.947230225,1
10000,0.5718109130859376,1
10066,-4.948709106,1
10133,1.8696121215820314,1
10200,1.4278807067871095,1
10266,-3.264261932,1
10333,0.8234376525878907,1
10400,1.6545094299316407,1
10466,-4.089944916,1
10533,0.4908293151855469,1
10600,2.3450234985351566,1
10666,-4.301754456,1
10733,-1.675016785,1
10800,2.694995727539063,1
10866,-3.587140503,1
10933,-2.451452179,1
11000,2.212099914550781,1
11066,-2.577340393,1
11133,-2.626438293,1
11199,2.446063385009766,1
11266,-1.954485626,1
11332,-2.877765656,1
11400,2.262245635986328,1
11466,-1.10455307,1
11533,-2.582130432,1
11600,2.8162435913085937,1
11666,-0.390388184,1
11733,-4.042942657,1
11800,2.4673191833496095,1
11866,-0.032332764,1
11933,-3.758085022,1
12000,2.3260130310058593,1
12066,0.3399430847167969,1
12133,-2.843936005,1
12200,1.8299446105957031,1
12266,0.3698808288574219,1
12333,-4.277654572,1
12400,1.8278489685058594,1
12466,1.046473846435547,1
12533,-3.608396301,1
12600,-0.265847168,1
12666,1.8639239501953127,1
12733,-3.706442413,1
12800,-0.441432037,1
12866,1.8312918090820314,1
12933,-2.708168335,1
13000,-1.650318146,1
13066,1.6443305969238282,1
13133,-0.717757416,1
13200,-3.292553101,1
13266,3.583547973632813,1
13333,0.009430389,1
13399,-4.046535187,1
13469,2.7307713317871096,1
13536,0.3495231628417969,1
13599,-3.641178131,1
13669,2.455194396972656,1
13732,-0.041613464,1
13799,-2.850971375,1
13868,2.011666717529297,1
13932,-0.226029968,1
14000,-3.190615082,1
14068,1.5281721496582032,1
14133,0.035925293,1
14200,-3.184328156,1
14268,1.5989749145507812,1
14333,0.072000275,1
14400,-4.374054108,1
14467,2.001936950683594,1
14533,0.7009922790527344,1
14599,-4.500541077,1
14667,1.7835411071777345,1
14733,1.4882052612304688,1
14799,-3.096909943,1
14866,-1.561253357,1
14933,2.925067291259766,1
15000,-2.281854858,1
15067,-1.508712616,1
15132,3.0828392028808596,1
15199,-1.672921143,1
15266,-3.453767853,1
15333,3.3200958251953128,1
15399,-0.095202026,1
15466,-3.029100952,1
15532,0.5569917297363282,1
15600,0.2709365844726563,1
15666,-0.454754333,1
15733,-1.69776947,1